Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,InChI Key (ID),Canonical SMILES String,Molecular Formula,PubChem ID,ECL Chemical id,ECL Product id,Catalog description,Synonyms,Catalog number,Sigma-Aldrich URL,Primary Information Source
Ethylammonium Iodide,EtNH3I,173.00,,"InChI=1S/C2H7N.HI/c1-2-3;/h2-3H2,1H3;1H",XFYICZOIWSBQSK-UHFFFAOYSA-N,CCN.I,C2H8IN,57461411,id:J8AY5jDwdMR9,id:01G6nvwk5EXK,"Ethylammonium Iodide 98%, 25g",,Sigma:805823-25G,,
Formic Acid,FAH,46.03,1.22,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",BDAGIHXWWSANSR-UHFFFAOYSA-N,C(=O)O,CH2O2,,id:n0k9mG8z6JY4,id:xRO9n3Bv6M6O,"Formic acid, reagent grade, 1L",,Sigma:F0507-1L,,
Gamma-Butyrolactone,GBL,86.09,1.12,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,YEJRWHAVMIAJKC-UHFFFAOYSA-N,C1CC(=O)OC1,C4H6O2,,id:N80DNjlYwwAo,id:lYq9jRxzx1O4,,,Spectrum 1Kg bottle,,(note: there is also a 3Kg bottle version: product ID id:jLq9jXvYvnwz)
Lead Diiodide,PbI2,461.01,,InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,RQQRAHKHDFPBMC-UHFFFAOYSA-L,I[Pb]I,PbI2,,id:1ZA60vLr1Yqa,id:eGakldJ4Ap5G,"Lead(II) iodide 99%, 50g",,Sigma:211168-50G,,
n-Butylammonium iodide,n-BuNH3I,201.05,,"InChI=1S/C4H11N.HI/c1-2-3-4-5;/h2-5H2,1H3;1H",CALQKRVFTWDYDG-UHFFFAOYSA-N,CCCC[NH3+].[I-],C4H12IN,,id:O81aEBZ406oD,id:AEqRl9K5p4lv,,,Sigma: 805874-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/805874,
Phenethylammonium iodide ,PhEtNH3I,249.10,,"InChI=1S/C8H11N.HI/c9-7-6-8-4-2-1-3-5-8;/h1-5H,6-7,9H2;1H",UPHCENSIMPJEIS-UHFFFAOYSA-N,C1=CC=C(C=C1)CC[NH3+].[I-],C8H12IN,SID329768971,id:WNa4ZjKRrRRz,id:1ZA60vLwjww6,Phenethylammonium iodide,,Sigma:805904-25G,,
null,null,null,null,null,null,null,null,,,,,,,,
Acetamidinium iodide,AcNH3I,185.99,,"InChI=1S/C2H6N2.HI/c1-2(3)4;/h1H3,(H3,3,4);1H",GGYGJCFIYJVWIP-UHFFFAOYSA-N,CC(=[NH2+])N.[I-],C2H7IN2,SID329768980,id:Y0lXejMMoL4v,id:Z1lqpMzz8KW9,,,Sigma:805971-25G,,PubChem
Methylammonium iodide,MeNH3I,158.97,,"InChI=1S/CH5N.HI/c1-2;/h2H2,1H3;1H",LLWRXQXPJMPHLR-UHFFFAOYSA-N,C[NH3+].[I-],CH6IN,SID329769003,id:kEJ9mqRJ6NP8,id:P5ZnEjdZqJ8r,Methylammonium iodide,"Methylammonium iodide, ""Methanamine hydroiodide"", ""Methanaminium \",Sigma: 806390-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/806390?lang=en&region=US,PubChem
Guanidinium iodide,GnNH3I,186.98,,"InChI=1S/CH5N3.HI/c2-1(3)4;/h(H5,2,3,4);1H",UUDRLGYROXTISK-UHFFFAOYSA-N,C(=[NH2+])(N)N.[I-],CH6IN3,,id:wqW9BP77nOOw,id:7X104vnndMM9,Guanidinium iodide 99%,"iodide"", ""Methylamine hydriodide"", ""Monomethylammonium iodide""",Sigma:806056-25G,https://www.sigmaaldrich.com/catalog/product/aldrich/806056?lang=en&region=US,PubChem
